scientific.name,status,kingdom,phylum,class,order,family,genus,specificEpithet,present
Calamagrostis stricta,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Calamagrostis,stricta,Y
Caltha palustris,rare/native,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Caltha,palustris,Y
Capnoides sempervirens,rare/native,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Capnoides,sempervirens,Y
Carex houghtoniana,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,houghtoniana,Y
Carex ormostachya,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,ormostachya,Y
Carex wiegandii,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,wiegandii,Y
Chelone glabra,rare/native,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Chelone,glabra,Y
Cicuta maculata,rare/native,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Cicuta,maculata,Y
Corallorhiza maculata,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza,maculata,Y
Corallorhiza trifida,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza,trifida,Y
Corema conradii,rare/native,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Corema,conradii,Y
Cornus rugosa,rare/native,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,rugosa,Y
Crataegus macracantha,rare/native,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,macracantha,Y
Cuscuta gronovii,rare/native,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,gronovii,Y
Cypripedium acaule,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,acaule,Y
Cystopteris fragilis,rare/native,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,fragilis,Y
Danaus plexippus,rare/native,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,plexippus,Y
Dasiphora fruticosa,rare/native,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Dasiphora,fruticosa,Y
Diphasiastrum digitatum,rare/native,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum,digitatum,Y
Epigaea repens,rare/native,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Epigaea,repens,Y
Epilobium ciliatum,rare/native,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,ciliatum,Y
Epilobium coloratum,rare/native,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,coloratum,Y
Epilobium palustre,rare/native,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,palustre,Y
Equisetum fluviatile,rare/native,Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,fluviatile,Y
Euthamia graminifolia,rare/native,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Euthamia,graminifolia,Y
Eutrochium maculatum,rare/native,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eutrochium,maculatum,Y
Fraxinus americana,rare/native,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,americana,Y
Fraxinus nigra,rare/native,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,nigra,Y
Fraxinus pennsylvanica,rare/native,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,pennsylvanica,Y
Geum rivale,rare/native,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,rivale,Y
Goodyera pubescens,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Goodyera,pubescens,Y
Hieracium scabrum,rare/native,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,scabrum,Y
Huperzia appressa,rare/native,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Huperzia,appressa,Y
Lilium philadelphicum,rare/native,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Lilium,philadelphicum,Y
Lonicera canadensis,rare/native,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,canadensis,Y
Lycopodiella inundata,rare/native,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodiella,inundata,Y
Lysimachia maritima,rare/native,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,maritima,Y
Maianthemum racemosum,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,racemosum,Y
Medeola virginiana,rare/native,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Medeola,virginiana,Y
Mertensia maritima,rare/native,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Mertensia,maritima,Y
Mollugo verticillata,rare/native,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Molluginaceae,Mollugo,verticillata,Y
Monotropa hypopitys,rare/native,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Monotropa,hypopitys,Y
Panicum virgatum,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Panicum,virgatum,Y
Pinus resinosa,rare/native,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,resinosa,Y
Platanthera clavellata,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,clavellata,Y
Polygonatum pubescens,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Polygonatum,pubescens,Y
Polypodium appalachianum,rare/native,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,appalachianum,Y
Proserpinaca pectinata,rare/native,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Proserpinaca,pectinata,Y
